mundesc,codmun,uf,cobatb,cobsbuc,prprenat7,prprenat4-6,prprenat1-3,rzcito,rzmamogr,rzpamc,rzintccmc,rzpaac,rzintccac,prachoacd,prpamcnr,prpaacnr,printmcnr,printacnr,prisab,txsifcong,prcuratb,prcurahans,Cobtetrav1,mescovds,prexodon,prparton,probm15uti,probiiam,ghm,RegBr
Santa Rosa do Sul,421565,SC,"99,1%","47,2%","63,2%","33,3%","2,8%","90,7%","38,5%","0,68","5,94","3,78","3,20","45,0%","0,0%","0,0%","0,0%","0,0%","37,6%",,"100,0%",,"109,4%","5,58","5,1%","49,8%","8,5%","13,8%",GH5,S
Santa Terezinha,421567,SC,"106,5%","62,7%","66,6%","28,9%","3,6%","63,1%","16,7%","0,24","4,17","1,32","1,85","42,9%","0,0%","0,0%","0,0%","0,0%","36,3%",,,,"114,0%","0,00","19,4%","62,0%","9,6%","16,2%",GH5,S
Santa Terezinha do Progresso,421568,SC,"103,6%","103,6%","83,9%","12,9%","3,2%","118,1%","45,8%","0,36","5,07","1,55","2,85","43,0%","0,0%","0,0%","0,0%","0,0%","32,6%",,,,"65,0%","4,25","5,7%","49,1%","8,4%","16,5%",GH5,S
Santiago do Sul,421569,SC,"204,8%","204,8%","67,4%","30,2%","2,3%","10,0%","57,6%","1,72","6,03","3,71","5,30","44,0%","0,0%","0,0%","0,0%","0,0%","32,1%",,,,"162,5%","0,30","9,1%","26,5%","8,8%","12,9%",GH5,S
Santo Amaro da Imperatriz,421570,SC,"105,3%","45,0%","61,9%","29,6%","6,1%","66,3%","206,4%","1,12","5,60","3,68","4,06","42,0%","0,0%","0,0%","0,1%","0,0%","36,1%",,"66,7%",,"103,7%","4,31","3,8%","45,1%","8,8%","10,0%",GH3,S
São Bernardino,421575,SC,"112,0%","130,6%","78,0%","17,1%","3,7%","89,8%","27,8%","0,32","4,94","2,79","4,11","41,5%","0,0%","0,0%","0,0%","0,0%","33,2%",,,,"79,4%","0,00","8,1%","45,1%","8,8%","15,7%",GH5,S
São Bento do Sul,421580,SC,"47,2%","38,6%","78,6%","18,0%","2,8%","74,8%","26,1%","0,38","4,74","2,40","2,12","42,5%","0,0%","0,0%","0,0%","0,0%","24,5%",,"89,3%","85,7%","94,7%","11,26","5,5%","36,7%","11,8%","14,6%",GH3,S
São Bonifácio,421590,SC,"122,5%","106,7%","86,8%","13,2%","0,0%","73,4%","70,5%","1,30","8,38","3,96","5,12","43,4%","0,0%","0,0%","0,0%","0,0%","34,1%",,,,"150,0%","0,45","2,9%","31,0%","8,7%","13,9%",GH5,S
São Carlos,421600,SC,"136,1%","119,9%","84,6%","13,3%","0,8%","125,7%","38,9%","1,06","6,62","2,44","4,85","44,1%","0,0%","0,0%","0,0%","0,0%","29,3%",,"50,0%","100,0%","83,9%","16,75","0,1%","35,6%","10,2%","15,0%",GH3,S
São Cristovão do Sul,421605,SC,"125,4%","79,7%","45,7%","43,8%","9,6%","62,5%","19,3%","0,46","5,24","2,01","2,73","40,4%","0,0%","0,0%","0,0%","0,0%","26,7%",,"66,7%",,"136,6%","3,03","10,3%","45,3%","8,8%","14,1%",GH5,S
São Domingos,421610,SC,"134,5%","63,2%","69,3%","23,7%","4,2%","70,9%","37,6%","0,98","5,37","2,56","3,51","42,9%","0,0%","0,0%","0,0%","0,0%","24,5%",,"50,0%","100,0%","85,2%","0,77","22,7%","42,1%","8,4%","13,4%",GH5,S
São Francisco do Sul,421620,SC,"55,4%","40,9%","41,6%","43,6%","12,7%","62,2%","61,4%","0,44","3,51","3,10","2,83","41,3%","0,0%","0,0%","0,0%","0,0%","23,0%",,"68,5%","33,3%","94,0%","1,44","10,1%","41,9%","15,9%","14,6%",GH3,S
São João do Oeste,421625,SC,"99,7%","53,2%","90,6%","8,0%","0,0%","118,7%","39,3%","0,30","6,06","2,79","2,72","44,1%","0,0%","0,0%","0,0%","0,0%","34,9%",,,"100,0%","158,5%","0,00","6,0%","43,5%","9,5%","11,1%",GH5,S
São João Batista,421630,SC,"105,9%","68,5%","25,9%","68,5%","3,8%","62,7%","59,7%","0,63","4,79","3,20","3,26","39,8%","0,0%","0,0%","0,0%","0,0%","40,1%",,"65,2%","100,0%","124,0%","1,77","4,3%","45,6%","12,2%","16,3%",GH5,S
São João do Itaperiú,421635,SC,"141,8%","130,9%","86,7%","11,9%","1,5%","89,9%","13,6%","0,68","3,74","2,25","3,22","43,2%","0,0%","0,0%","0,0%","0,0%","14,1%",,"100,0%",,"104,3%","340,97","10,0%","49,3%","9,9%","14,4%",GH5,S
São João do Sul,421640,SC,"148,2%","125,0%","72,1%","23,6%","3,4%","99,5%","27,6%","0,37","5,76","3,09","2,24","43,5%","0,0%","0,0%","0,0%","0,0%","38,5%",,"100,0%",,"96,5%","0,00","3,5%","48,0%","9,1%","11,9%",GH5,S
São Joaquim,421650,SC,"63,7%","50,0%","68,2%","19,5%","10,2%","41,7%","1,5%","0,45","5,64","1,44","3,54","44,5%","0,0%","0,0%","0,0%","0,0%","25,0%",,"66,7%",,"114,4%","3,33","2,3%","38,2%","19,9%","15,0%",GH3,S
São José,421660,SC,"52,0%","21,9%","66,0%","24,0%","6,9%","38,8%","31,6%","0,99","3,45","5,52","4,34","45,8%","0,0%","0,0%","0,2%","0,7%","22,1%","0,91","69,4%","100,0%","96,1%","0,37","2,7%","43,5%","11,4%","8,3%",GH2,S
São José do Cedro,421670,SC,"93,3%","87,8%","69,1%","27,9%","2,3%","92,6%","23,8%","0,29","5,02","2,25","3,60","44,1%","0,0%","0,0%","0,0%","0,0%","39,6%",,"0,0%","100,0%","95,1%","0,00","10,2%","37,1%","9,7%","15,4%",GH5,S
São José do Cerrito,421680,SC,"66,8%","68,3%","45,9%","41,3%","10,7%","54,5%","2,8%","0,48","6,21","1,33","3,02","42,2%","0,0%","0,0%","0,0%","0,0%","49,1%",,,,"96,4%","0,08","16,1%","47,6%","9,2%","12,7%",GH5,S
São Lourenço do Oeste,421690,SC,"91,2%","45,9%","85,4%","11,1%","2,7%","91,8%","33,0%","0,50","6,01","2,26","3,50","43,8%","0,0%","0,0%","0,0%","0,0%","26,2%",,"100,0%","100,0%","85,6%","4,99","4,9%","32,1%","12,8%","15,5%",GH3,S
São Ludgero,421700,SC,"71,3%","72,8%","77,2%","18,8%","2,1%","95,3%","71,7%","0,71","4,96","4,18","4,42","42,4%","0,0%","0,0%","0,0%","0,0%","36,4%",,"0,0%",,"108,7%","0,00","8,8%","38,1%","10,1%","15,8%",GH5,S
São Martinho,421710,SC,"129,8%","155,7%","66,0%","30,9%","0,0%","95,1%","74,6%","0,22","5,01","3,37","3,01","43,3%","0,0%","0,0%","0,0%","0,0%","48,2%",,"100,0%",,"97,0%","0,00","9,2%","32,0%","10,4%","13,5%",GH5,S
São Miguel da Boa Vista,421715,SC,"188,2%","245,1%","91,8%","6,1%","2,0%","90,2%","56,5%","0,39","4,74","1,59","3,57","44,0%","0,0%","0,0%","0,0%","0,0%","18,0%",,,,"100,0%","8,50","5,2%","32,9%","8,1%","16,2%",GH5,S
São Miguel do Oeste,421720,SC,"77,4%","76,4%","82,5%","14,7%","2,7%","91,0%","34,0%","0,63","4,51","3,68","4,03","40,4%","0,1%","0,0%","0,1%","0,0%","39,8%",,"100,0%","100,0%","114,6%","1,26","7,8%","32,6%","11,7%","12,7%",GH3,S
São Pedro de Alcântara,421725,SC,"170,7%","222,9%","77,1%","16,7%","2,1%","106,4%","77,0%","0,96","4,22","7,08","4,47","44,4%","0,0%","0,0%","0,0%","0,0%","22,1%",,"66,7%",,"103,7%","1,19","1,6%","44,5%","11,8%","11,0%",GH5,S
Saudades,421730,SC,"74,6%","49,9%","85,8%","13,8%","0,4%","84,4%","42,6%","0,73","5,98","2,75","3,85","42,9%","0,0%","0,0%","0,0%","0,0%","34,3%",,"100,0%","100,0%","151,4%","2,07","2,0%","42,0%","10,6%","13,5%",GH5,S
Schroeder,421740,SC,"112,5%","54,8%","82,5%","14,7%","1,7%","70,4%","35,0%","0,53","4,46","3,18","3,94","44,9%","0,0%","0,0%","0,0%","0,0%","20,1%",,"100,0%","100,0%","143,6%","1,22","9,7%","42,5%","10,6%","14,3%",GH5,S
Seara,421750,SC,"96,3%","112,3%","87,4%","9,6%","1,1%","102,9%","60,4%","0,54","5,78","2,51","4,05","43,5%","0,0%","0,0%","0,0%","0,0%","29,2%",,,"66,7%","100,0%","17,69","8,6%","14,8%","7,0%","14,5%",GH3,S
Serra Alta,421755,SC,"91,3%","121,8%","84,9%","12,3%","2,8%","14,2%","2,0%","0,81","2,94","3,08","5,00","42,9%","0,0%","0,0%","0,0%","0,0%","31,0%",,,,"83,3%","9,03","10,5%","37,7%","8,3%","14,4%",GH5,S
Siderópolis,421760,SC,"95,5%","35,7%","37,1%","54,9%","6,4%","76,2%","42,0%","0,40","4,18","4,03","3,70","42,7%","0,0%","0,0%","0,0%","0,0%","32,0%",,"100,0%",,"99,3%","0,58","5,3%","36,1%","12,1%","16,0%",GH5,S
Sombrio,421770,SC,"86,1%","48,5%","60,1%","34,0%","4,7%","77,8%","29,0%","0,48","5,40","3,46","2,46","44,8%","0,0%","0,0%","0,0%","0,0%","37,6%",,"88,9%","100,0%","111,7%","0,56","6,9%","45,7%","9,3%","16,6%",GH3,S
Sul Brasil,421775,SC,"108,5%","108,5%","88,3%","9,6%","0,0%","13,0%","31,3%","0,15","7,50","3,05","3,15","43,4%","0,0%","0,0%","0,0%","0,0%","22,5%",,,,"134,6%","0,39","9,7%","50,3%","9,0%","14,1%",GH5,S
Taió,421780,SC,"105,6%","60,8%","68,6%","22,8%","7,1%","60,8%","18,2%","0,45","4,66","2,13","3,92","40,8%","0,0%","0,0%","0,0%","0,0%","27,1%",,"100,0%","100,0%","116,7%","4,36","1,1%","46,3%","9,9%","12,5%",GH5,S
Tangará,421790,SC,"89,8%","57,6%","64,1%","33,3%","1,6%","122,2%","27,2%","0,62","5,48","2,74","3,29","41,4%","0,0%","0,0%","0,0%","0,0%","48,0%",,"100,0%",,"99,0%","0,16","23,9%","43,0%","8,7%","16,3%",GH5,S
Tigrinhos,421795,SC,"177,9%","170,7%","91,7%","8,3%","0,0%","122,8%","98,5%","1,09","6,00","3,69","4,65","43,4%","0,0%","0,0%","0,0%","0,0%","23,3%",,,,"106,3%","9,79","5,2%","29,0%","11,2%","12,9%",GH5,S
Tijucas,421800,SC,"109,9%","92,7%","63,9%","25,5%","8,2%","38,8%","38,3%","0,87","5,04","4,67","3,87","44,5%","0,0%","0,0%","0,0%","0,0%","28,2%","1,63","76,2%","44,4%","101,4%","0,00","15,0%","45,6%","9,0%","23,0%",GH3,S
Timbé do Sul,421810,SC,"135,0%","75,4%","81,7%","12,7%","4,9%","81,1%","22,0%","0,45","5,09","2,43","2,24","43,9%","0,0%","0,0%","0,0%","0,0%","49,6%",,"100,0%",,"80,3%","3,66","0,0%","38,0%","10,9%","13,2%",GH5,S
Timbó,421820,SC,"96,9%","89,4%","76,8%","20,8%","1,6%","25,6%","8,9%","0,41","3,84","2,53","2,35","43,4%","0,0%","0,0%","0,0%","0,0%","33,3%",,"83,3%","100,0%","107,1%","2,95","3,7%","36,2%","11,6%","10,5%",GH3,S
Timbó Grande,421825,SC,"130,3%","41,9%","42,3%","40,9%","14,5%","44,1%","19,6%","0,28","3,38","1,00","1,39","42,7%","0,0%","0,0%","0,0%","0,0%","38,4%",,,,"108,6%","0,00","28,0%","38,3%","9,7%","16,2%",GH5,S
Três Barras,421830,SC,"142,9%","59,3%","65,4%","28,2%","5,6%","102,8%","20,9%","0,30","4,93","2,62","2,23","41,2%","0,0%","0,0%","0,0%","0,0%","29,2%",,"50,0%","88,9%","88,0%","0,01","3,1%","56,0%","11,3%","18,9%",GH5,S
Treviso,421835,SC,"187,8%","170,1%","56,6%","35,4%","3,5%","111,9%","98,4%","0,82","3,41","3,41","4,71","43,3%","0,0%","0,0%","0,0%","0,0%","29,0%",,"100,0%",,"121,6%","5,37","2,6%","27,8%","8,6%","15,2%",GH5,S
Treze de Maio,421840,SC,"135,4%","130,9%","63,6%","33,6%","1,9%","97,4%","38,3%","0,32","5,59","1,81","3,93","43,6%","0,0%","0,0%","0,0%","0,0%","69,4%",,"100,0%","100,0%","121,9%","3,27","6,6%","34,8%","9,4%","19,5%",GH5,S
Treze Tílias,421850,SC,"98,9%","103,8%","77,4%","18,8%","3,4%","73,0%","20,0%","0,50","4,50","3,04","3,31","41,3%","0,0%","0,0%","0,0%","0,0%","40,9%",,"50,0%",,"106,0%","1,45","2,4%","30,8%","11,2%","16,7%",GH5,S
Trombudo Central,421860,SC,"118,2%","91,5%","79,6%","16,6%","2,6%","14,0%","28,3%","0,37","3,40","2,01","2,65","43,4%","0,0%","0,0%","0,0%","0,0%","30,3%",,,,"104,7%","0,91","10,3%","48,2%","10,7%","13,6%",GH5,S
Tubarão,421870,SC,"84,2%","63,5%","74,7%","21,0%","3,3%","74,4%","54,5%","0,65","5,09","4,95","5,29","45,2%","0,4%","0,1%","0,3%","0,3%","29,9%",,"72,2%","75,0%","88,4%","2,57","5,5%","34,4%","12,2%","20,4%",GH2,S
Tunápolis,421875,SC,"129,5%","129,5%","93,8%","4,9%","1,4%","147,4%","38,8%","0,59","6,01","2,21","3,75","43,2%","0,0%","0,0%","0,0%","0,0%","35,6%",,"100,0%",,"131,8%","0,11","6,9%","52,7%","8,1%","12,9%",GH5,S
Turvo,421880,SC,"114,1%","71,3%","58,5%","35,0%","6,0%","78,1%","41,0%","0,33","5,33","2,99","2,20","45,7%","0,1%","0,0%","0,0%","0,0%","27,8%",,,,"118,7%","3,50","8,3%","39,9%","9,3%","15,1%",GH3,S
União do Oeste,421885,SC,"103,1%","137,5%","57,3%","36,5%","3,1%","13,8%","53,1%","0,64","5,00","2,87","3,49","41,5%","0,0%","0,0%","0,0%","0,0%","38,7%",,,"100,0%","52,4%","0,00","2,4%","43,2%","8,9%","15,8%",GH5,S
Urubici,421890,SC,"123,0%","121,5%","32,1%","57,9%","8,2%","67,0%","2,4%","0,29","4,66","1,43","3,29","42,5%","0,0%","0,0%","0,0%","0,0%","30,8%",,,"100,0%","99,3%","0,54","12,9%","53,2%","11,2%","15,2%",GH5,S
Urupema,421895,SC,"141,0%","161,2%","51,2%","33,7%","10,5%","87,6%","6,4%","0,69","4,51","1,76","6,89","41,5%","0,0%","0,0%","0,0%","0,0%","25,0%",,,,"96,4%","5,01","9,0%","52,8%","8,8%","13,6%",GH5,S
Urussanga,421900,SC,"127,6%","84,1%","51,9%","43,2%","3,9%","73,5%","56,8%","0,74","4,51","4,23","3,06","43,9%","0,0%","0,0%","0,0%","0,0%","36,5%",,"33,3%","66,7%","91,3%","6,78","6,2%","30,4%","12,1%","15,5%",GH3,S
Vargeão,421910,SC,"100,5%","84,9%","79,9%","14,5%","3,1%","92,3%","57,2%","0,45","5,55","3,39","2,47","44,6%","0,0%","0,0%","0,0%","0,0%","48,9%",,"100,0%",,"73,0%","8,69","6,9%","29,6%","8,1%","12,9%",GH5,S
Vargem,421915,SC,"106,8%","106,8%","51,1%","38,9%","7,8%","50,6%","17,2%","0,28","4,64","0,87","1,21","42,6%","0,0%","0,0%","0,0%","0,0%","32,9%",,"0,0%",,"134,8%","0,00","18,3%","42,8%","8,1%","14,1%",GH5,S
Vargem Bonita,421917,SC,"140,6%","78,2%","68,3%","25,7%","4,0%","63,5%","19,1%","0,67","4,62","2,25","2,32","41,5%","0,0%","0,0%","0,0%","0,0%","36,5%",,,,"94,1%","0,00","4,3%","32,1%","8,6%","20,2%",GH5,S
Vidal Ramos,421920,SC,"106,4%","95,3%","78,4%","17,2%","2,6%","68,2%","47,4%","0,39","5,40","2,23","3,39","42,4%","0,0%","0,0%","0,0%","0,0%","39,7%",,,"100,0%","133,8%","0,00","15,6%","48,7%","12,1%","14,6%",GH5,S
Videira,421930,SC,"35,7%","26,2%","86,5%","9,7%","2,8%","65,6%","26,9%","0,42","5,41","3,41","2,91","44,1%","0,7%","0,0%","0,0%","0,0%","21,8%",,"100,0%","100,0%","104,0%","0,00","4,6%","18,6%","11,0%","14,4%",GH3,S
Vitor Meireles,421935,SC,"105,6%","57,6%","67,9%","25,5%","6,1%","52,7%","26,4%","0,21","6,03","1,96","3,10","41,8%","0,0%","0,0%","0,0%","0,0%","33,5%",,"100,0%",,"104,4%","0,43","14,4%","39,9%","10,6%","12,1%",GH5,S
Witmarsum,421940,SC,"101,8%","111,1%","87,2%","10,9%","1,9%","9,3%","37,5%","0,33","6,20","1,88","2,57","43,1%","0,0%","0,0%","0,0%","0,0%","36,0%",,,,"140,0%","0,13","17,1%","40,7%","10,2%","14,2%",GH5,S
Xanxerê,421950,SC,"73,8%","46,9%","55,8%","33,2%","9,9%","65,8%","31,7%","1,19","4,62","3,36","4,16","44,5%","0,0%","0,0%","0,1%","0,2%","22,8%","1,34","100,0%","0,0%","92,5%","7,16","8,8%","35,6%","7,6%","17,3%",GH3,S
Xavantina,421960,SC,"136,0%","138,3%","87,3%","11,1%","0,0%","101,3%","25,7%","0,34","6,21","2,21","3,28","43,7%","0,0%","0,0%","0,0%","0,0%","46,2%",,,,"113,5%","0,00","5,8%","24,4%","10,0%","13,9%",GH5,S
Xaxim,421970,SC,"102,0%","114,8%","42,3%","53,5%","3,1%","115,4%","42,1%","0,61","6,19","2,57","3,36","43,4%","0,0%","0,0%","0,0%","0,0%","21,1%",,"100,0%","100,0%","105,4%","0,00","4,2%","22,6%","8,3%","15,1%",GH3,S
Zortéa,421985,SC,"119,8%","100,3%","51,7%","40,0%","7,5%","57,1%","26,7%","0,32","3,77","1,99","2,01","41,5%","0,0%","0,0%","0,0%","0,0%","23,2%",,,,"102,7%","0,00","4,2%","29,5%","9,8%","16,7%",GH5,S
Aceguá,430003,RS,"108,1%","94,8%","84,7%","11,9%","1,7%","110,9%","20,4%","0,49","5,37","2,11","2,50","43,4%","0,0%","0,0%","0,0%","0,0%","44,3%",,"100,0%",,"116,4%","0,62","9,1%","43,7%","8,7%","13,1%",GH5,S
Água Santa,430005,RS,"92,6%","161,0%","87,9%","10,3%","0,9%","74,0%","39,3%","0,14","5,24","3,08","3,95","44,1%","0,0%","0,0%","0,0%","0,0%","19,6%",,,,"111,1%","1,36","1,9%","28,7%","8,9%","19,1%",GH5,S
Agudo,430010,RS,"26,2%","17,3%","65,0%","29,8%","4,5%","45,8%","24,3%","0,62","7,29","2,74","3,50","42,3%","0,0%","0,0%","0,0%","0,0%","30,9%",,"66,7%",,"83,9%","0,10","45,3%","41,2%","10,3%","14,7%",GH5,S
Ajuricaba,430020,RS,"106,8%","106,8%","87,2%","11,5%","1,3%","79,7%","44,9%","0,24","4,81","3,91","3,80","41,4%","0,0%","0,0%","0,0%","0,0%","42,1%",,,,"96,3%","0,97","9,8%","28,2%","8,0%","15,5%",GH5,S
Alecrim,430030,RS,"128,6%","112,4%","92,7%","7,3%","0,0%","125,6%","54,2%","0,46","6,68","3,02","2,96","43,5%","0,0%","0,0%","0,0%","0,0%","26,0%",,,"100,0%","107,3%","9,05","4,1%","27,1%","7,7%","16,9%",GH5,S
Alegrete,430040,RS,"22,3%","22,2%","78,6%","14,8%","4,9%","71,8%","34,0%","0,33","4,97","4,07","1,87","44,2%","0,0%","0,0%","0,0%","0,0%","23,6%",,"74,6%","80,0%","95,9%","1,19","19,0%","25,2%","7,5%","19,6%",GH3,S
Alegria,430045,RS,"76,0%","46,5%","97,9%","2,1%","0,0%","134,8%","46,2%","0,31","4,78","2,54","1,94","43,8%","0,0%","0,0%","0,0%","0,0%","17,3%",,,,"91,2%","0,42","23,4%","40,2%","9,9%","12,5%",GH5,S
Almirante Tamandaré do Sul,430047,RS,"185,9%","172,2%","72,3%","21,3%","6,4%","101,9%","48,2%","0,06","4,11","3,81","8,39","43,3%","0,0%","0,0%","0,0%","0,0%","34,5%",,,,"65,0%","0,00","4,4%","30,3%","8,1%","14,0%",GH5,S
Alpestre,430050,RS,"112,6%","37,4%","95,2%","4,4%","0,4%","93,8%","46,3%","0,25","6,21","3,32","3,26","42,0%","0,0%","0,0%","0,0%","0,0%","35,7%",,"0,0%",,"98,8%","0,38","24,3%","58,2%","9,3%","11,4%",GH5,S
Alto Alegre,430055,RS,"162,3%","90,2%","82,9%","9,8%","7,3%","82,0%","63,9%","0,30","3,94","3,00","5,97","43,7%","0,0%","0,0%","0,0%","0,0%","39,0%",,"100,0%","50,0%","75,0%","0,00","7,1%","21,0%","10,5%","14,4%",GH5,S
Alto Feliz,430057,RS,"156,8%","143,3%","91,9%","8,1%","0,0%","94,7%","17,1%","0,43","3,72","2,78","3,31","43,8%","0,0%","0,0%","0,0%","0,0%","26,7%",,,,"95,2%","0,16","2,6%","29,7%","10,1%","13,4%",GH5,S
Alvorada,430060,RS,"42,7%","20,5%","62,0%","26,2%","7,9%","45,7%","39,5%","1,18","5,27","5,97","5,16","46,2%","0,0%","0,0%","0,0%","0,0%","31,2%","6,26","60,0%","80,0%","90,9%","1,65","8,3%","57,1%","5,6%","15,5%",GH4,S
Amaral Ferrador,430063,RS,"112,8%","94,4%","79,5%","15,6%","2,9%","59,5%","14,5%","0,39","2,43","1,05","3,15","43,8%","0,0%","0,0%","0,0%","0,0%","26,9%",,"100,0%",,"75,4%","2,56","9,6%","42,4%","9,4%","13,1%",GH5,S
Ametista do Sul,430064,RS,"123,2%","81,9%","69,4%","29,2%","1,4%","102,9%","56,8%","0,38","9,14","4,92","4,57","42,0%","0,0%","0,0%","0,0%","0,0%","32,5%",,"100,0%","100,0%","101,3%","0,00","16,7%","50,6%","8,8%","17,0%",GH6,S
André da Rocha,430066,RS,"212,4%","205,6%","81,1%","18,9%","0,0%","30,6%","10,8%","0,19","3,57","3,12","4,22","41,5%","0,0%","0,0%","0,0%","0,0%","28,0%",,,,"73,3%","0,00","10,7%","28,9%","8,1%","13,8%",GH5,S
Anta Gorda,430070,RS,"112,8%","19,2%","73,9%","21,0%","4,2%","92,8%","19,8%","0,34","5,86","3,80","4,46","42,9%","0,0%","0,0%","0,0%","0,0%","32,8%",,"100,0%",,"102,6%","1,10","3,0%","32,9%","10,3%","12,9%",GH5,S
Antônio Prado,430080,RS,"63,1%","30,1%","91,7%","4,2%","1,3%","51,4%","23,6%","0,27","5,88","3,10","2,33","42,5%","0,0%","0,0%","0,0%","0,0%","45,7%",,"0,0%",,"107,0%","1,86","7,4%","15,6%","10,7%","13,0%",GH3,S
Arambaré,430085,RS,"162,5%","57,5%","67,7%","27,1%","5,2%","79,9%","33,4%","0,53","4,33","2,37","3,76","43,7%","0,0%","0,0%","0,0%","0,0%","22,5%",,"100,0%",,"71,8%","3,05","71,4%","48,4%","8,1%","15,2%",GH5,S
Araricá,430087,RS,"142,8%","78,1%","59,6%","26,5%","12,1%","97,6%","30,6%","1,09","6,86","3,27","5,18","44,5%","0,0%","0,0%","0,0%","0,0%","25,6%",,"40,0%",,"91,7%","0,00","3,5%","48,0%","8,8%","15,2%",GH5,S
Aratiba,430090,RS,"105,0%","76,1%","92,5%","6,8%","0,6%","73,6%","26,5%","0,88","6,00","4,80","6,05","43,1%","0,0%","0,0%","0,0%","0,0%","19,1%",,"33,3%","100,0%","146,3%","0,00","4,6%","39,5%","11,8%","12,5%",GH5,S
Arroio do Meio,430100,RS,"57,0%","20,2%","79,1%","18,0%","2,2%","64,6%","28,8%","0,64","5,23","3,95","7,57","46,0%","0,0%","0,0%","0,0%","0,0%","16,5%",,"100,0%",,"133,1%","0,00","7,6%","15,2%","10,9%","22,0%",GH5,S
Arroio do Sal,430105,RS,"99,0%","21,0%","76,1%","16,7%","5,7%","79,2%","37,8%","0,58","2,49","3,04","3,52","42,2%","0,0%","0,0%","0,0%","0,0%","25,3%","2,63",,,"133,3%","1,86","17,0%","44,6%","8,5%","14,5%",GH5,S
Arroio do Padre,430107,RS,"176,4%","164,8%","69,1%","19,1%","0,0%","101,0%","36,9%","0,32","2,43","2,80","3,22","43,3%","0,0%","0,0%","0,0%","0,0%","30,9%",,"100,0%",,"171,4%","10,06","3,1%","41,6%","8,8%","16,5%",GH5,S
Arroio dos Ratos,430110,RS,"88,2%","22,0%","67,0%","21,9%","9,0%","71,4%","33,0%","0,86","5,08","3,41","3,83","43,0%","0,0%","0,0%","0,0%","0,0%","36,8%",,"23,5%",,"100,0%","6,08","0,0%","51,0%","7,2%","14,6%",GH5,S
Arroio do Tigre,430120,RS,"61,3%","70,2%","76,3%","18,3%","3,3%","88,8%","28,9%","0,31","6,62","2,41","3,21","43,8%","0,0%","0,0%","0,0%","0,0%","37,5%",,"87,5%","100,0%","100,0%","0,00","15,9%","28,6%","8,3%","15,8%",GH5,S
Arroio Grande,430130,RS,"4,0%","0,7%","72,6%","16,7%","3,5%","50,2%","11,3%","0,23","4,81","2,95","3,34","42,7%","0,0%","0,0%","0,0%","0,0%","43,0%","1,81","100,0%",,"129,0%","0,00","0,0%","51,9%","9,1%","10,8%",GH5,S
Arvorezinha,430140,RS,"17,1%","9,8%","73,7%","19,8%","5,3%","55,7%","21,3%","0,15","5,80","2,15","4,11","45,2%","0,0%","0,0%","0,0%","0,0%","28,8%",,"50,0%",,"116,5%","3,96","0,0%","32,8%","9,6%","14,2%",GH5,S
Augusto Pestana,430150,RS,"109,2%","89,2%","81,3%","17,0%","1,1%","76,9%","40,2%","0,12","5,23","3,60","3,13","43,8%","0,0%","0,0%","0,0%","0,0%","22,1%",,"100,0%","100,0%","64,7%","0,03","3,1%","30,7%","7,9%","15,3%",GH5,S
Áurea,430155,RS,"150,1%","81,9%","76,3%","19,4%","2,2%","91,0%","50,1%","0,19","5,63","6,41","7,68","43,3%","0,0%","0,0%","0,0%","0,0%","27,1%",,"100,0%","100,0%","102,7%","3,69","1,9%","43,5%","9,6%","15,4%",GH5,S
Bagé,430160,RS,"73,7%","55,1%","69,1%","23,3%","5,9%","46,8%","14,4%","0,54","4,77","2,85","3,24","47,7%","0,1%","0,0%","0,0%","0,0%","33,7%","0,42","87,7%",,"103,6%","0,11","19,5%","38,9%","6,3%","18,6%",GH3,S
Balneário Pinhal,430163,RS,"82,9%","55,3%","67,9%","21,7%","7,2%","62,7%","22,5%","0,33","2,21","2,49","2,75","41,9%","0,0%","0,0%","0,0%","0,0%","25,6%","3,37","44,4%",,"104,5%","1,93","8,1%","53,2%","6,8%","13,6%",GH5,S
Barão,430165,RS,"72,6%","24,4%","82,0%","16,0%","1,0%","17,7%","12,6%","0,32","6,49","1,37","2,38","43,1%","0,0%","0,0%","0,0%","0,0%","37,9%",,,,"81,8%","4,98","4,7%","30,8%","9,3%","12,8%",GH5,S
Barão de Cotegipe,430170,RS,"105,6%","42,1%","81,6%","13,5%","4,9%","56,3%","33,5%","0,71","5,34","5,28","8,87","45,5%","0,0%","0,0%","0,0%","0,0%","23,2%",,,,"117,6%","4,01","2,8%","45,4%","7,8%","11,4%",GH5,S
Barão do Triunfo,430175,RS,"76,7%","28,5%","84,3%","10,8%","2,0%","56,1%","20,4%","0,36","3,29","1,72","1,99","42,9%","0,0%","0,0%","0,0%","0,0%","21,9%",,"0,0%",,"95,8%","0,00","7,0%","45,2%","8,6%","13,0%",GH5,S
Barracão,430180,RS,"61,0%","56,0%","90,0%","10,0%","0,0%","93,3%","15,6%","0,31","4,73","2,35","4,61","42,9%","0,0%","0,0%","0,0%","0,0%","32,1%",,"100,0%",,"98,2%","0,00","14,4%","32,0%","9,4%","16,2%",GH5,S
Barra do Guarita,430185,RS,"72,8%","72,8%","76,9%","18,3%","3,8%","59,5%","30,9%","0,30","5,30","2,92","4,63","43,3%","0,0%","0,0%","0,0%","0,0%","25,1%",,"100,0%","100,0%","100,0%","1,30","7,7%","30,8%","8,6%","13,8%",GH5,S
